day,boxoffice($)
1,26752099
2,52281135
3,77025481
4,93411301
5,109497762
6,125943053
7,137094051
8,160189097
9,188463503
10,212711184
11,232129323
12,250419951
13,268886074
14,283624210
15,308898218
16,334733769
17,352114898
18,360209452
19,367536685
20,374445852
21,380540297
22,393820950
23,415090487
24,430846514
25,435957707
26,441024441
27,445768203
28,450467005
29,460861269
30,478115377
31,493252617
32,504868451
33,509059398
34,512852205
35,516797418
36,525825912
37,542151962
38,551741499
39,554981691
40,558179737
41,561317325
42,564472387
43,571911813
44,585695694
45,595752416
46,598453037
47,601141551
48,603789348
49,606493323
50,612653642
51,624193440
52,629344204
53,631595771
54,633621035
55,635470349
56,637605653
57,642146324
58,651346762
59,661217278
60,666388502
61,668224829
62,669935879
63,671721154
64,675615172
65,683071751
66,687962011
67,689237048
68,690499726
69,691701910
70,692904794
71,695981544
72,702621374
73,706560068
74,707818745
75,709304322
76,710842764
77,712489342
78,714463378
79,718126396
80,720607444
81,721425412
82,722207106
83,722954237
84,723744022
85,725429879
86,728329714
87,730270443
88,730942185
89,731621183
90,732229805
91,732880952
92,733938158
93,735684163
94,736907957
95,737266471
96,737627370
97,737976702
98,738393054
99,738919556
100,739798846
101,740440529
102,740684275
103,740916066
104,741140003
105,741352439
106,741699502
107,742076465
108,742332678
109,742497942
110,742605267
111,742721098
112,742844322
113,743083175
114,743448904
115,743688973
116,743767458
117,743853911
118,743935257
119,744020453
120,744275947
121,744750989
122,745023267
123,745115019
124,745219191
125,745330634
126,745444933
127,745686489
128,746120670
129,746365137
130,746433508
131,746510111
132,746579530
133,746659357
134,746830110
135,747119231
136,747292481
137,747350763
138,747409335
139,747464115
140,747521330
141,747625319
142,747807571
143,747946415
144,747990164
145,748037195
146,748083861
147,748133199
148,748219486
149,748372762
150,748468373
151,748509613
152,748548157
153,748590962
154,748633160
155,748675358
156,748757357
157,748821665
158,748860222
159,748882285
160,748905564
161,748928859
162,748956828
163,749004090
164,749048939
165,749073100
166,749090092
167,749106053
168,749125398
169,749143485
170,749180329
171,749202090
172,749213502
173,749224990
174,749237761
175,749252032
176,749267995
177,749295708
178,749316799
179,749333092
180,749351711
181,749371407
182,749389769
183,749401863
184,749421334
185,749434950
186,749446322
187,749462370
188,749475963
189,749491002
190,749500636
191,749520515
192,749535574
193,749545029
194,749557279
195,749561612
196,749568158
197,749575182
198,749587187
199,749596887
200,749603864
201,749609548
202,749614235
203,749620438
204,749630881
205,749648672
206,749657409
207,749663362
208,749667910
209,749675406
210,749685805
211,749689645
212,749696871
213,749701420
214,749702913
215,749704539
216,749705969
217,749710176
218,749714957
219,749722641
220,749726993
221,749728743
222,749730229
223,749731535
224,749735275
225,749739321
226,749744182
227,749748303
228,749748874
229,749749646
230,749750520
231,749755628
232,749758313
233,749762141
23,749766139
